Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.000783610372245155,0.000780779155891816,0.22487687951109,0,0,0,0.656798808945253,0.00352706468827847,-1.80141580287448E-06,8.68934291778745E-07,0.00354410801464646,9.00707901436597E-07,0.00022739890592658,0,0,0,0,0,0,package://ASEM_V2.SLDASM/meshes/base_link.STL,0.866666666666667,0.909803921568627,1,1,0,0,0,0,0,0,package://ASEM_V2.SLDASM/meshes/base_link.STL,,0808 舵机2 定子支架-1;0808 舵机2 主体-1;allink1-1;allink1-2;allink2-1;anglebracketM6-2;anglebracketM6-1;anglebracketM6-3;anglebracketM6-4;allink2 - 副本-2;allink2 - 副本-1;anglebracketM6-5;allink2 - 副本-4;allink2 - 副本-3;anglebracketM6-6,base,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link1,-1.1192675258842E-11,1.53877785190812E-05,0.0699801166821439,0,0,0,0.120852949012653,7.02975867816925E-05,9.99323124219071E-14,6.29006420014835E-14,4.76574284717077E-05,-3.17750717415396E-08,4.02294785409818E-05,0,0,0,0,0,0,package://ASEM_V2.SLDASM/meshes/link1.STL,1,1,1,1,0,0,0,0,0,0,package://ASEM_V2.SLDASM/meshes/link1.STL,,0808 舵机2 主体-2;basetolink1-1,link1,axis1,j1,revolute,0,0,0.532999999999992,-1.57079632679455,0,-1.57079632679567,base_link,0,0,-1,0,0,-3.14,3.14,,,,,,,,
link2,0.0792972044006984,-4.966580853731E-05,4.99999999999806E-05,0,0,0,0.14035863699268,6.09160617441116E-05,-3.17736108122861E-08,-1.21140051073515E-20,6.39289714783637E-05,-2.37554357215717E-21,8.09923563529688E-05,0,0,0,0,0,0,package://ASEM_V2.SLDASM/meshes/link2.STL,0.866666666666667,0.909803921568627,1,1,0,0,0,0,0,0,package://ASEM_V2.SLDASM/meshes/link2.STL,,0808 舵机2 转子-2;0808 舵机2 主体-4;0808 舵机2 转子-3,link2,axis2,j2,revolute,0,0,0.093699999999975,1.5707963267949,-1.5707963267949,0,link1,0,0,1,0,0,-3.14,3.14,,,,,,,,
link3,0.106202976965644,-1.38777878078145E-17,9.48819146900058E-06,0,0,0,0.195921875509131,6.69647666943292E-05,6.1265784205265E-12,-3.17736108122398E-08,0.000119643985450752,6.06860112751918E-10,8.13405997060887E-05,0,0,0,0,0,0,package://ASEM_V2.SLDASM/meshes/link3.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://ASEM_V2.SLDASM/meshes/link3.STL,,upperarm-1;0808 舵机2 主体-5,link3,axis3,j3,revolute,0.076,-4.99999999999962E-05,4.99999999999806E-05,-1.5707963267949,0,0,link2,0,0,-1,0,0,-3.14,3.14,,,,,,,,
link4,0.121297780922475,-0.00228656782111138,-0.0138460602818061,0,0,0,0.178854495034261,7.49286492698528E-05,-3.85497495108717E-07,7.55666513639472E-07,0.000304798739532731,-4.09856411979482E-06,0.000258620428706312,0,0,0,0,0,0,package://ASEM_V2.SLDASM/meshes/link4.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://ASEM_V2.SLDASM/meshes/link4.STL,,lowerarm - 副本-1;carbon 8''-1;carbon 8''-2;wristholder-1;servomotor-1,link4,axis4,j4,revolute,0.1524,0,0,0,0,0,link3,0,0,1,0,0,-3.14,3.14,,,,,,,,
link5,0.017623450623141,0.0250720179485942,0.0147844406504887,0,0,0,0.0509977130540439,1.37983244494247E-05,-7.54684042513299E-07,-2.96781875492616E-07,8.07033122032687E-06,-4.31943035783113E-07,1.7649492763302E-05,0,0,0,0,0,0,package://ASEM_V2.SLDASM/meshes/link5.STL,0.866666666666667,0.909803921568627,1,1,0,0,0,0,0,0,package://ASEM_V2.SLDASM/meshes/link5.STL,,0806 舵机输出圆盘-1;Fencebot - 副本.step-1;servomotor-2,link5,axis5,j5,revolute,0.203415334104116,-0.0326559999999993,-0.0424779999999994,1.5707963267949,0,0,link4,0,0,-1,0,0,-3.14,3.14,,,,,,,,
link6,0.0044743505779595,-7.97057662232925E-09,0.005009004270078,0,0,0,0.00796119611791654,3.42403171450765E-07,-3.56529906151535E-12,-1.29953843092014E-08,6.13789450189992E-07,-1.10568785578683E-12,6.82449762710764E-07,0,0,0,0,0,0,package://ASEM_V2.SLDASM/meshes/link6.STL,0.866666666666667,0.909803921568627,1,1,0,0,0,0,0,0,package://ASEM_V2.SLDASM/meshes/link6.STL,,0806 舵机输出圆盘-2;Fencebot-1,link6,axis6,j6,revolute,0.0474750000000006,0.0179749999999995,0.0194250000000002,0,-1.5707963267949,0,link5,0,0,-1,0,0,-3.14,3.14,,,,,,,,
